rank,gene_id,f_immGA,f_matGA,matSP_holdfast,matSP_meristem,matSP_stipe,matSP_vegfrond,matSP_frond_sorus,matSP_sporophyll_sorus
3,nbis-gene-17588,2.2393555000000003,13.061471,14.152525,37.396133,34.151785,28.631071,36.16046,34.494031
7,nbis-gene-1759,0.6249125,0.058619,2.0848215,3.368527,4.562988,5.593166,36.47537,17.767189
1,nbis-gene-17590,3.5149935,15.604112,2.681598,12.023464,7.734093,12.770431,11.66795,11.917387
1,nbis-gene-17591,18.4470135,90.055942,66.520662,83.295183,68.88304,75.506613,81.553976,80.820593
1,nbis-gene-17592,0.298292,12.290183,0.1635495,0.647051,0.558632,0.190129,158.857852,151.314133
1,nbis-gene-17593,2.3214805,0.100397,14.9044025,7.362436,6.959436,5.66527,27.273229,51.511145
1,nbis-gene-17594,0.018716,0,173.605055,110.952979,250.421572,304.229564,1.450472,2.464971
1,nbis-gene-17595,8.652308,0,118.42981350000001,63.531794,67.17801,66.664382,55.346131,98.317796
1,nbis-gene-17596,39.633335,18.280096,37.4935705,100.043226,109.519841,41.583776,195.083553,217.483035
3,nbis-gene-17598,3.474724,23.656725,13.281362,20.059944,11.255184,14.01958,36.537467,45.806422
1,nbis-gene-17599,4.0735575,0,11.249137999999999,14.461201,35.126744,13.145519,14.679456,11.723149
7,nbis-gene-176,3.8586484999999997,0,0.30412,14.136586,9.582149,1.618067,20.122105,17.586741
2,nbis-gene-17600,1.8130225,6.238955,0.524412,5.112178,2.081111,4.605584,7.773817,6.111113
7,nbis-gene-17601,31.8801795,2.248175,4.3177825,21.977545,21.938762,20.70093,108.36952,78.869337
1,nbis-gene-17602,73.758818,326.586096,107.9973465,177.084858,137.067272,111.163249,466.09547,424.910285
1,nbis-gene-17603,8.934654,21.78534,23.1752095,17.416192,17.972691,16.436871,80.464567,58.956704
4,nbis-gene-17604,18.41648,64.371047,26.760003,20.490819,23.081077,35.1466,30.901003,26.703847
1,nbis-gene-17605,1.249136,0.978231,3.532728,8.019987,7.752392,10.120647,18.423898,17.213273
1,nbis-gene-17606,2.5769830000000002,0.112504,11.1970365,30.115245,33.056857,25.390706,82.468814,54.596343
1,nbis-gene-17608,30.733706499999997,169.573528,12.577127,1.844709,6.722044,0.408123,24.990642,34.167604
