PS,GeneID,S1,S2,S3,S4,S4.5,S5,gamete_female,gamete_male,holdfast,reptip,stipe,vegtip
1,dis_TRINITY_DN9385_c1_g4,11.444395,4.769221,2.3071735,0.792751,0.749812,0.582749,4.062214,0.98223,1.455153,2.553528,0.950722,0.782154
1,dis_TRINITY_DN9392_c0_g2,72.769941,109.986032,44.2623605,47.089317,51.3293275,50.792296,26.267277,10.099731,42.540511,53.350689,75.967589,62.976906
8,dis_TRINITY_DN9395_c0_g1,40.353892,34.079594,24.7981455,19.852852,20.7070045,15.753877,19.360529,3.268126,13.711868,22.156815,9.379088,10.657831
1,dis_TRINITY_DN9400_c0_g1,790.760771,699.161949,961.5801655,761.641101,709.4949704999999,858.340745,886.256756,516.71855,661.530949,799.874916,643.211513,800.280889
1,dis_TRINITY_DN9402_c0_g2,102.316827,114.434591,72.2858335,41.430064,53.844997,37.528326,49.622345,11.20981,58.025731,57.761907,25.360795,41.886452
2,dis_TRINITY_DN9405_c0_g3,10.67866,15.089482,12.4856595,14.498992,17.190053,15.531767,9.198846,2.84693,17.745526,15.809286,13.876984,15.024861
1,dis_TRINITY_DN9411_c0_g1,48.454323,22.698225,17.779105,16.438732,19.4496835,10.833135,164.827575,34.512881,21.630419,50.95686,22.706922,21.389487
8,dis_TRINITY_DN9417_c0_g1,38.1855,75.283499,17.9634885,12.247158,9.2102425,6.971346,12.71587,1.699034,7.16245,13.947301,6.031091,3.176664
8,dis_TRINITY_DN9417_c0_g2,14.188416,16.649342,17.113335499999998,36.540649,40.306503,24.709058,32.099273,8.798237,34.593465,25.537668,46.953218,21.656855
8,dis_TRINITY_DN9417_c0_g3,18.901281,20.386727,13.2381935,20.351978,11.5304145,14.965792,13.474953,2.314039,12.882653,10.311534,17.311062,9.323681
8,dis_TRINITY_DN9417_c0_g4,0.1234,0,0,0,0,0,0,0,0,31.913429,0,0.136607
1,dis_TRINITY_DN9419_c0_g1,8.5401,2.110048,4.162507,5.593782,4.044471,7.737601,5.771064,1.230932,24.885125,5.319454,7.998569,3.509487
8,dis_TRINITY_DN942_c0_g1,108.757304,117.870715,71.5444355,119.803934,115.055817,47.639836,47.501206,9.927393,26.430148,54.192709,23.733769,31.065498
2,dis_TRINITY_DN9420_c0_g1,0.122149,0,0,0,0,0,0,182.763832,0,16.855186,0,0
1,dis_TRINITY_DN9421_c0_g1,29.720329,32.813336,31.4415395,47.353102,39.709905500000005,25.837324,36.59878,55.166377,8.456625,21.275795,6.973958,16.453118
1,dis_TRINITY_DN9421_c0_g3,3.212536,1.448938,0.12215,0.029337,0,0,1.133589,324.587167,0,8.220763,0,0
1,dis_TRINITY_DN9422_c0_g2,18.700463,27.956691,18.2270175,21.073691,12.929269,10.396967,20.771582,2.280216,5.388407,12.573071,3.465751,6.622706
8,dis_TRINITY_DN9427_c0_g4,4.176137,4.2848,3.0649855,2.9442,2.4544724999999996,1.698255,2.353267,1.330815,2.4067,3.18105,1.215213,1.550102
7,dis_TRINITY_DN9432_c0_g1,9.250932,7.773688,7.078988000000001,4.547238,3.1357065,7.420595,18.452343,4.441434,4.608822,9.489415,6.533067,7.9972
8,dis_TRINITY_DN9432_c0_g2,9.50584,22.1128,18.5388555,16.281084,17.876617,14.701562,4.342934,0.775084,18.429403,10.139629,15.345264,7.925651
1,dis_TRINITY_DN9451_c0_g1,200.064807,170.482434,329.4331315,248.71407,145.481837,166.469796,227.242445,31.050546,97.967058,97.93412,189.79733,229.983621
1,dis_TRINITY_DN9451_c0_g2,1463.298489,1770.448959,1526.62188,677.07106,475.727969,697.757029,1172.768928,9539.733587,865.987343,689.332587,154.689206,359.028903
2,dis_TRINITY_DN9455_c0_g1,13.951215,19.489007,23.2498255,21.783405,14.1025025,16.115778,35.067009,6.982196,10.901842,14.043947,10.209698,7.206695
1,dis_TRINITY_DN9461_c0_g1,30.557948,31.105723,37.0899815,21.359874,17.94618,21.521233,74.533464,17.812841,19.244304,35.897012,16.274792,22.22808
2,dis_TRINITY_DN9464_c0_g1,194.685753,284.257106,442.5159715,490.229276,658.3883615,610.914334,243.300529,202.26355,399.537156,767.416061,488.496856,1086.784263
8,dis_TRINITY_DN9467_c1_g1,118.775399,166.831077,110.199599,171.188439,126.359915,69.123006,72.388922,17.158509,39.223341,61.678183,22.422676,32.708996
8,dis_TRINITY_DN9469_c3_g2,3.972954,2.917855,5.6734905,6.191008,4.596641,3.636624,3.443382,0.789761,14.442054,12.179342,13.161326,7.216767
1,dis_TRINITY_DN9470_c0_g1,16.63601,11.424505,13.228883,10.742611,7.1639205,12.014115,12.556055,4.296848,11.794972,13.369215,10.280799,8.598571
8,dis_TRINITY_DN9474_c0_g1,20.250186,10.098933,16.2256135,17.477768,9.131533,15.685804,46.189863,21.950363,8.347771,18.575802,12.057725,8.093455
1,dis_TRINITY_DN9475_c0_g1,27.701862,40.337858,26.381496,21.096534,8.8185815,9.755611,36.075272,1.997589,7.877341,14.632786,3.487427,3.829384
8,dis_TRINITY_DN9477_c0_g1,72.933463,48.587531,33.897479,33.528956,27.3686525,27.294744,73.833893,7.348041,29.342983,29.986183,26.49839,21.035619
8,dis_TRINITY_DN9478_c0_g2,3.543179,2.650121,3.0491029999999997,1.321872,1.550544,0.921922,0.144934,154.860638,0,39.530413,0,4.60749
6,dis_TRINITY_DN9479_c0_g1,12.915233,12.559283,10.9966475,10.528558,8.5782335,6.83073,20.70062,1.925859,7.246879,8.848973,6.916564,5.163869
1,dis_TRINITY_DN948_c0_g2,22.194856,34.786478,60.4578695,51.610256,33.3925545,43.064125,8.246274,4.066758,18.942691,29.503402,18.075576,17.033998
8,dis_TRINITY_DN948_c0_g4,10.509913,13.627204,9.816064,6.969066,5.064181,7.619424,3.60952,6.57818,9.06378,7.169388,7.88409,6.646125
8,dis_TRINITY_DN948_c0_g5,4.358243,7.426817,14.9386725,10.761381,8.4700905,9.432375,21.743077,16.946377,10.485352,14.174552,10.709305,8.175612
8,dis_TRINITY_DN9481_c0_g1,43.626427,29.364283,25.4074775,51.252892,26.383483,42.62773,20.35943,24.028492,17.424496,15.713652,9.172415,7.78862
7,dis_TRINITY_DN949_c0_g1,2.12658,18.049726,64.03411700000001,51.317245,25.097873,38.796933,2.584816,12.72294,51.705019,26.550926,43.869415,28.655379
7,dis_TRINITY_DN9494_c0_g1,5.786533,10.442078,15.121334,21.084597,25.7171815,12.145755,1.732222,0.721016,10.169359,11.673445,9.826999,12.670792
8,dis_TRINITY_DN9495_c0_g2,10.739784,8.771517,13.626461,7.916838,6.176913,6.747033,11.512868,56.593487,9.449039,9.854701,7.617149,4.534352
8,dis_TRINITY_DN95_c0_g1,21.252509,17.410055,27.0807475,16.599558,16.5051335,15.467668,12.403901,5.045092,19.074543,18.619134,15.150232,12.411399
2,dis_TRINITY_DN950_c0_g1,6.133375,5.264585,12.389931,16.271471,12.369498,9.351228,9.782068,2.426765,17.169275,11.277707,18.233371000000002,9.117698
8,dis_TRINITY_DN9500_c1_g1,22.9453,34.627123,6.992259000000001,4.746276,4.3522365,3.714026,4.31297,0.837846,3.020564,10.687276,4.206231,3.026598
8,dis_TRINITY_DN9501_c0_g2,8.043148,6.846177,6.4436955000000005,6.383202,5.287561500000001,6.152707,9.262047,1.345058,11.903381,15.536724,9.974339,6.807539
7,dis_TRINITY_DN9501_c0_g3,15.114104,31.949136,11.2762635,7.684861,5.253774,7.156682,5.070921,1.996987,4.035091,8.942082,3.805352,4.271931
8,dis_TRINITY_DN9501_c0_g4,15.046217,10.824871,13.498528,10.221851,4.411935,9.506386,9.195479,13.872152,7.525866,12.318295,8.207233,6.360267
7,dis_TRINITY_DN9504_c0_g4,14.419366,24.635728,14.1360045,13.636695,15.738832,9.789274,3.251401,2.632281,16.035163,14.278651,12.179997,8.938521
1,dis_TRINITY_DN951_c0_g2,109.806179,117.272738,86.669127,79.919256,70.2992785,75.812087,19.605065,98.077606,95.803147,68.778376,94.309354,62.695281
8,dis_TRINITY_DN951_c0_g3,19.410392,16.09144,28.763838,29.932989,19.464288,28.790539,10.794318,26.809639,24.534871,37.29196,20.885857,13.768544
1,dis_TRINITY_DN9510_c0_g3,7.504613,8.308906,7.619629,7.752071,8.6147085,10.471029,15.316997,190.44908,10.232288,18.585984,10.383772,11.96091
5,dis_TRINITY_DN9512_c0_g1,4.134161,7.517221,16.018445,18.288141,15.6946305,22.57754,10.824799,2.823613,25.259114,16.809544,28.200873,15.420992
7,dis_TRINITY_DN9519_c0_g1,15.204502,13.308261,10.541389,10.191806,10.508203,10.211803,12.144496,1.930053,9.470324,10.742314,6.549171,7.46369
1,dis_TRINITY_DN952_c0_g1,29.188731,24.329614,22.212387999999997,17.119533,17.942718,14.10838,15.724463,2.539385,17.786961,19.939392,15.743904,12.71499
